,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1970.0,9.0,30.0,0.0,59.0
1,1965.0,4.0,35.0,1.0,63.0
2,1963.0,3.0,37.0,2.0,66.0
3,1960.0,1.0,40.0,3.0,67.0
4,1960.0,0.0,40.0,4.0,67.0
5,1960.0,0.0,40.0,5.0,67.0
6,1960.0,0.0,40.0,6.0,67.0
7,1960.0,0.0,40.0,7.0,67.0
8,1960.0,0.0,40.0,8.0,67.0
9,1960.0,0.0,40.0,9.0,67.0
10,1960.0,0.0,40.0,10.0,67.0
11,1960.0,0.0,40.0,11.0,67.0
12,1960.0,0.0,40.0,12.0,67.0
13,1960.0,0.0,40.0,13.0,67.0
14,1960.0,0.0,40.0,14.0,67.0
15,1960.0,0.0,40.0,15.0,67.0
16,1960.0,0.0,40.0,16.0,67.0
17,1960.0,0.0,40.0,17.0,67.0
18,1960.0,0.0,40.0,18.0,67.0
19,1960.0,0.0,40.0,19.0,67.0
20,1960.0,0.0,40.0,20.0,67.0
21,1960.0,0.0,40.0,20.0,67.0
22,1960.0,0.0,40.0,21.0,67.0
23,1960.0,0.0,40.0,22.0,67.0
24,1960.0,0.0,40.0,23.0,67.0
25,1960.0,0.0,40.0,24.0,67.0
26,1960.0,0.0,40.0,25.0,67.0
27,1960.0,0.0,40.0,26.0,67.0
28,1960.0,0.0,40.0,27.0,67.0
29,1960.0,0.0,40.0,28.0,67.0
30,1960.0,0.0,40.0,29.0,67.0
31,1960.0,0.0,40.0,30.0,67.0
32,1960.0,0.0,40.0,31.0,67.0
33,1960.0,0.0,40.0,32.0,67.0
34,1960.0,0.0,40.0,33.0,67.0
35,1960.0,0.0,40.0,34.0,67.0
36,1960.0,0.0,40.0,35.0,67.0
37,1960.0,0.0,40.0,36.0,67.0
38,1960.0,0.0,40.0,37.0,67.0
39,1960.0,0.0,40.0,38.0,67.0
40,1960.0,0.0,40.0,39.0,67.0
41,1960.0,0.0,40.0,40.0,67.0
