,date,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,lat,long,sqft_living15,zipcode_98001,zipcode_98002,zipcode_98003,zipcode_98004,zipcode_98005,zipcode_98006,zipcode_98007,zipcode_98008,zipcode_98010,zipcode_98011,zipcode_98014,zipcode_98019,zipcode_98022,zipcode_98023,zipcode_98024,zipcode_98027,zipcode_98028,zipcode_98029,zipcode_98030,zipcode_98031,zipcode_98032,zipcode_98033,zipcode_98034,zipcode_98038,zipcode_98039,zipcode_98040,zipcode_98042,zipcode_98045,zipcode_98052,zipcode_98053,zipcode_98055,zipcode_98056,zipcode_98058,zipcode_98059,zipcode_98065,zipcode_98070,zipcode_98072,zipcode_98074,zipcode_98075,zipcode_98077,zipcode_98092,zipcode_98102,zipcode_98103,zipcode_98105,zipcode_98106,zipcode_98107,zipcode_98108,zipcode_98109,zipcode_98112,zipcode_98115,zipcode_98116,zipcode_98117,zipcode_98118,zipcode_98119,zipcode_98122,zipcode_98125,zipcode_98126,zipcode_98133,zipcode_98136,zipcode_98144,zipcode_98146,zipcode_98148,zipcode_98155,zipcode_98166,zipcode_98168,zipcode_98177,zipcode_98178,zipcode_98188,zipcode_98198,zipcode_98199
6035,-0.19503077512891945,0.7415270432095051,2.4153957619893442,0.5457583501049013,0.9748571755524752,-0.07316642884631501,2.4392189226829437,-0.584101505422321,2.545378870140816,2.5872077345487923,0.9575796604072647,0.622509772079182,0.06416662617589734,0.4869746431509404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12871,-0.24794937911830406,0.7415270432095051,0.7999982116260079,1.2777727689610308,0.9748571755524752,-0.07316642884631501,-0.2912228882201577,-0.584101505422321,2.225166257661178,-0.6417387118111292,0.8237869050139032,0.23436655934495845,0.029487417503625487,2.2107374887278968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21099,-0.41552495841802195,0.7415270432095051,0.4769187015533407,-0.533776472946475,0.9748571755524752,-0.07316642884631501,-0.2912228882201577,-0.584101505422321,0.40148398007768826,-0.6417387118111292,1.3573582743043229,-0.34459566300164113,2.349182579604246,1.1262190993711916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11629,-1.0946470429484576,-1.7055841784446595,-0.8153993387373282,-0.07860150056676414,-0.9917268077613015,-0.07316642884631501,1.073998017231393,-0.584101505422321,-0.8272048617257164,-0.6417387118111292,-0.9403418577018564,1.207977187935253,-0.5251870359964151,0.053575995194615096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19536,-0.05391449782389385,0.7415270432095051,-0.492319828664661,0.17469559136628313,-0.9917268077613015,-0.07316642884631501,-0.2912228882201577,0.9843223654216801,-0.2559829747818461,0.37436331676367124,-0.18828885842551613,0.04065635261725037,0.23064658191842935,-0.09441219594064384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11115,-1.6238330828423038,-0.27411587868303544,0.4769187015533407,-0.2786776076669925,0.9748571755524752,-0.07316642884631501,-0.2912228882201577,-0.584101505422321,1.2515794834653957,-0.6417387118111292,0.9909860390073546,0.32543926847812277,1.3205103195919514,1.2913963243525428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6881,1.4189866465473109,-0.27411587868303544,1.7692367418440096,-0.28747279567124506,0.9748571755524752,-0.07316642884631501,3.804439828134494,-0.584101505422321,0.040822027050384596,0.9614444888291115,0.8572602135012615,-0.3539920536264959,-0.28949474453044366,0.9275864851366759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16586,-1.0858272756168936,-0.27411587868303544,-0.492319828664661,-0.507598401997809,-0.9917268077613015,-0.07316642884631501,2.4392189226829437,-0.584101505422321,-1.1994050182204277,0.6904839478758314,-0.8372894718263367,1.1125676831290905,-1.072572078482723,0.7792003211770034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4607,0.7927831660062598,-1.7055841784446595,-0.8153993387373282,0.3169766648637732,-0.9917268077613015,-0.07316642884631501,-0.2912228882201577,-2.7946707943994107,-0.11771863674731942,-0.6417387118111292,-0.7686760582038548,-0.8548919538589252,-2.069428662274732,-0.37654664500940116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13439,0.30769596277023425,-0.27411587868303544,-0.16924031859199376,-1.2513369308944922,0.9748571755524752,-0.07316642884631501,-0.2912228882201577,-0.584101505422321,-0.2718653917552911,-0.6417387118111292,0.5217702569400697,0.8942823009210089,-0.9340270027324516,-1.0792417312654428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10480,-0.13329240380797075,-0.27411587868303544,-0.8153993387373282,0.37884124482388654,-0.9917268077613015,-0.07316642884631501,-0.2912228882201577,0.9843223654216801,-0.8887088404881123,-0.6417387118111292,-0.29034455501806156,-1.0999209093839053,0.11271990221333797,-0.14537263163139813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16146,1.2955099039054134,-1.7055841784446595,-1.4615583588826626,-0.0012791909377171495,-0.9917268077613015,-0.07316642884631501,-0.2912228882201577,0.9843223654216801,-0.6331954480488909,-0.6417387118111292,-0.8372894718263367,1.205085990819921,-0.823174634406757,-0.2855592868358342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4337,0.37825410142274707,-0.27411587868303544,-1.4615583588826626,0.18625371011081732,-0.9917268077613015,-0.07316642884631501,-0.2912228882201577,-0.584101505422321,-1.2232694843674776,-0.6417387118111292,0.015356171673163898,-0.84983235890712,3.072780965938232,-1.6105013127288574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18621,0.39589363608587524,0.7415270432095051,0.4769187015533407,0.2840097797227095,0.9748571755524752,-0.07316642884631501,-0.2912228882201577,-0.584101505422321,1.0886822769111832,-0.6417387118111292,0.6225942021355724,0.7988727961148465,0.4665491751207546,0.7918438399754774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14269,-0.9358912309803039,-0.27411587868303544,1.1230777216986751,0.4233205949532555,0.9748571755524752,-0.07316642884631501,-0.2912228882201577,-0.584101505422321,0.7754473481880846,-0.23529790038120904,0.15077558781308578,0.5661314283301561,1.0635372066341786,0.9873554141183608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
